T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
1891, 51, 865, 52, -43750, 74830, 22680
1911, 41, 876, -102, -16870, 116340, 14560
1931, 249, 838, 61, 7490, 76720, 7840
1951, 214, 905, 238, 29610, -53900, 8400
1971, 252, 717, 158, 24290, -67130, 27510
1991, 207, 1003, 208, 18550, -68950, 44940
2011, 177, 982, 192, 6090, -34090, 49910
2031, 198, 912, 88, -45920, -36750, 68810
2051, 308, 901, 193, -52010, -39970, 70280
2071, 421, 1027, 245, -42770, -44800, 77630
2091, 427, 875, -10, -52430, -48090, 98980
2111, 258, 765, 174, -71540, -14140, 134750
2131, 364, 896, 138, -60410, 17990, 109200
2151, 352, 850, 299, -22120, -13580, 71470
2171, 483, 971, 412, 1050, -10360, 48720
2191, 509, 839, 246, 5180, -23310, 22610
2211, 555, 700, 243, -10220, -19320, 22960
2231, 514, 771, 245, 5110, 36960, 8260
2251, 523, 713, 254, 7980, 28210, -420
2271, 470, 768, 221, 37520, 3850, -8960
2291, 421, 886, 233, 67760, 50960, -37730
2311, 401, 857, 296, 54040, 46690, -33110
2331, 471, 850, 180, 22680, 6160, -4900
2351, 528, 850, 190, 25830, -8330, 17570
2371, 198, 497, -43, 24990, 26390, 28770
2391, 425, 814, 173, 18410, 52990, 20650
2411, 386, 853, 252, 23100, 11760, 140
2431, 402, 835, 220, 24080, 15890, -4410
2451, 393, 941, 246, 32830, 23240, -11550
2471, 341, 866, 125, 7280, 22120, -10220
2491, 347, 958, 131, -8050, 27720, -6300
2511, 318, 952, 274, 210, 50960, -6580
2531, 363, 930, 246, -10500, 61600, 4620
2551, 439, 891, 211, -10080, 34930, 18340
2571, 427, 838, 262, 3360, 27650, 22610
2591, 391, 1021, 198, 23240, 70350, 10080
2611, 311, 935, 362, 43540, 135380, -2520
2631, 453, 902, 231, 67970, 121310, 22610
2651, 402, 830, 356, 57050, 120890, 36610
2671, 405, 842, 393, 35000, 100730, 55580
2691, 409, 898, 293, 18620, 77490, 61460
2711, 410, 742, 259, -3780, 98770, 69440
2731, 452, 677, 486, -28770, 169050, 78400
2751, 390, 770, 458, -25200, 195930, 61950
2771, 443, 809, 394, -10710, 117460, 51800
2791, 417, 739, 381, -19880, 71960, 41160
2811, 379, 793, 484, -35420, 108500, 29890
2831, 345, 852, 471, -30310, 128520, 22610
2851, 384, 941, 648, -2660, 49350, 15750
2871, 342, 793, 417, -9450, 3430, 4340
2891, 327, 814, 435, -41230, 38990, -19670
2911, 301, 832, 445, -35280, 66500, -26180
2931, 305, 706, 441, -14000, 67410, -22050
2951, 228, 927, 386, 980, 66010, -14350
2971, 295, 791, 568, 1890, 52780, -4760
2991, 301, 772, 509, -12880, 25200, 2030
3011, 314, 752, 554, -12670, 13860, -1260
3031, 300, 783, 455, 2660, 37310, -3360
3051, 273, 810, 492, 8120, 56980, -3920
3071, 260, 754, 562, -10430, 73990, 420
3091, 218, 720, 585, -23240, 88830, 560
3111, 236, 779, 589, -15260, 53760, -840
3131, 243, 780, 589, -6370, 23800, 1260
3151, 242, 779, 587, -6930, 17150, 770
3171, 241, 788, 589, 70, 8750, 910
3191, 242, 763, 595, -1820, 7630, 0
3211, 225, 776, 608, -210, 18340, 1120
3231, 219, 779, 593, 1470, 29610, 3640
3251, 244, 774, 541, -700, 30730, 3920
3271, 201, 715, 654, -7560, 25550, 1890
3291, 184, 763, 651, -6720, 41650, 6020
3311, 175, 782, 649, 1120, 49980, 7770
3331, 165, 765, 642, 6090, 44940, 7140
3351, 181, 796, 593, -1750, 34370, 6090
3371, 186, 759, 603, -9590, 14910, 1820
3391, 168, 763, 638, -6860, 14280, 420
3411, 175, 780, 623, -3010, 12740, 770
3431, 161, 805, 610, 1260, 8190, 630
3451, 148, 785, 656, -1400, 6860, 700
3471, 160, 761, 624, -9730, 3010, -910
3491, 155, 763, 634, -12320, 70, -1330
3511, 172, 761, 652, -8680, -210, 630
3531, 162, 724, 645, -8470, -840, -350
3551, 140, 780, 630, 7070, 6440, 5390
3571, 155, 780, 646, 11690, 8260, 7490
3591, 167, 752, 630, 1680, 5950, 3220
3611, 164, 755, 637, -840, 7980, 1260
3631, 135, 792, 671, 2380, 9310, 350
3651, 156, 759, 634, 5880, 9100, 3360
3671, 153, 773, 599, 140, 8120, 3150
3691, 154, 727, 612, -5320, 14420, 3920
3711, 87, 823, 673, -4690, 35980, 6300
3731, 111, 733, 679, 3080, 84560, 7840
3751, 104, 779, 666, -4970, 66500, 4690
3771, 101, 763, 652, -8820, 40950, 4970
3791, 95, 780, 672, -9940, 24920, -2100
3811, 66, 775, 722, -22540, 17710, -8400
3831, 38, 756, 686, -39270, 21070, -10010
3851, 77, 742, 700, -37310, 16450, -13160
3871, 80, 707, 702, -28560, 3780, -14630
3891, 93, 677, 662, -32550, -5810, -6930
3911, 92, 690, 675, -22820, -9450, -1680
3931, 120, 731, 704, -3290, -8820, 1400
3951, 85, 719, 677, 1470, -2310, 8470
3971, 85, 726, 665, 70, 2520, 19110
3991, 130, 684, 664, -2870, 4900, 14210
4011, 86, 673, 696, -9240, 4760, 4900
4031, 33, 685, 746, -6790, 2520, 9240
4051, 92, 672, 721, 0, -3150, 8750
4071, 59, 707, 737, -2870, -3010, -3220
4091, 43, 747, 741, 1330, 980, 70
4111, 75, 750, 708, 5530, -2170, 2730
4131, 95, 714, 689, -1820, -5600, -5740
4151, 112, 748, 686, -8470, -7560, -4900
4171, 79, 723, 727, -8610, -5180, -1120
4191, 559, 521, -1698, -10710, -6090, -2730
4211, 108, 729, 1041, -16870, 65450, -16310
4231, -168, 638, 1077, 15260, 4550, 26880
4251, 115, 719, 706, -14280, -4550, 9170
4271, 132, 721, 684, -13720, -9310, -22260
4291, 91, 718, 726, -2100, -14490, -7980
4311, 83, 679, 727, -3640, -15120, -1330
4331, 35, 682, 789, -6720, -10220, 1050
4351, 37, 691, 812, -5810, -8820, 420
