T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
2101, -307, 469, 714, -29260, 9590, -29470
2121, -350, 440, 755, -4970, 840, -28910
2141, -347, 423, 785, -9240, 26040, -41370
2161, -479, 443, 886, -420, 32200, -49140
2181, -443, 414, 902, 10990, -2940, -54880
2201, -416, 415, 819, 15680, -34440, -46410
2221, -90, -15, 1041, 16240, -23310, -22050
2241, -308, 315, 925, -16240, -20580, 5670
2261, -403, 533, 976, -29260, -49280, 40250
2281, -385, 465, 822, 30170, -74130, 39620
2301, -279, 448, 823, 19950, -97860, 30450
2321, -129, 425, 710, 13020, -77770, 13230
2341, -163, 458, 721, 11900, -60340, -2520
2361, -299, 462, 832, 18200, -22540, -17290
2381, -260, 480, 793, 2170, 11900, -10850
2401, -336, 406, 861, -11550, 14280, 10710
2421, -281, 479, 841, -1540, 8120, 30590
2441, -293, 473, 854, 7350, -1260, 29400
2461, -318, 450, 852, 10640, -4550, 24990
2481, -260, 465, 846, 13790, -11970, 1610
2501, -258, 547, 978, -70, -29190, -40180
2521, -288, 536, 1025, -14420, -73990, -87080
2541, -353, 489, 1033, -140, -145670, -121520
2561, -237, 415, 961, -3990, -176890, -152740
2581, -191, 454, 948, -63000, -194880, -167090
2601, 249, 448, -337, -115920, -198450, -148190
2621, -719, 495, 1937, -127540, -48440, -104720
2641, -279, 311, 653, 81620, 247940, 10430
2661, -384, 243, 599, -19530, 90510, -22400
2681, -205, 498, 559, -26320, 23100, -49070
2701, -242, 696, 1348, 168350, -86870, -89600
2721, -106, 593, 732, 308210, -90720, -97230
2741, -66, 706, 937, 114170, -70840, -68880
2761, -101, 801, 1068, 105420, -94080, 43120
2781, -208, 425, 929, 70000, -106190, 102620
2801, -159, 331, 814, 35630, -87290, 79030
2821, 64, 579, 837, 14560, -11830, -29960
2841, -42, 644, 853, 9240, 49000, -70700
2861, -329, 454, 661, -2870, 73640, -51380
2881, -476, 457, 635, -21210, 105070, -54040
2901, -449, 538, 737, 1610, 123480, -118650
2921, -502, 578, 778, 21070, 109620, -152250
2941, -532, 573, 701, 27650, 90790, -145670
2961, -579, 544, 625, -8820, 84350, -146930
2981, -344, 437, 700, -9660, 67480, -178990
3001, -399, 415, 721, 51800, 42350, -207060
3021, -488, 515, 764, 78680, 33880, -178150
3041, -478, 544, 814, 95200, 32410, -148750
3061, -473, 446, 779, 96600, 31640, -132930
3081, -446, 456, 762, 59570, 12670, -107520
3101, -605, 444, 684, 20020, 3780, -75390
3121, -788, 457, 651, 7490, 7980, -19110
3141, -753, 485, 540, 12950, 62510, -29050
3161, -777, 378, 599, 12320, 87920, -69790
3181, -818, 382, 435, 22820, 114100, -89810
3201, -850, 469, 480, 26810, 140560, -144130
3221, -892, 457, 498, 46900, 157920, -160510
3241, -1011, 392, 396, 52360, 159460, -139580
3261, -1287, 215, 244, 56700, 171430, -110040
3281, -1329, 205, -101, 62510, 199150, -125020
3301, -1264, 260, -90, 75320, 223930, -227710
3321, -1193, 374, 16, 107450, 225540, -297220
3341, -1097, 260, 6, 115290, 188230, -271810
3361, -1097, 141, -37, 120960, 147210, -242830
3381, -1098, 121, -65, 116900, 87710, -169400
3401, -1039, 21, -90, 98560, 45360, -112140
3421, -947, -282, -296, 84280, -33320, -42140
3441, -1083, -88, 106, 84070, -114030, 19110
3461, -704, -144, -221, 97510, -119280, 12600
3481, -809, -88, 56, 49000, -232820, -21280
3501, -781, -91, 115, 125020, -166530, -45150
3521, -662, -123, 145, 139720, -133350, -60340
3541, -675, -140, 214, 140280, -105490, -53480
