T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
4677, 1089, 548, -166, -1330, 28560, -14630
4697, 1033, 608, -110, 22820, 67550, -29890
4717, 879, 622, -98, 34650, 99750, -53760
4737, 802, 670, -111, 21280, 103390, -64890
4757, 866, 681, -7, 140, 76720, -49070
4777, 908, 679, -71, 36820, 28350, 840
4797, 957, 638, -8, 71120, 43330, 11480
4817, 1035, 566, 38, 94290, 48020, 16380
4837, 982, 471, 168, 98840, 46340, 20790
4857, 939, 341, 72, 100170, 44450, 18760
4877, 823, 290, 72, 101430, 45850, 18690
4897, 813, 271, 116, 109970, 43050, 25200
4917, 905, 171, 150, 128170, 40670, 32900
4937, 958, 133, 267, 157080, 49210, 28140
4957, 940, 16, 279, 172550, 59010, 19530
4977, 903, -88, 289, 164500, 66290, 15890
4997, 844, -241, 226, 140770, 82740, 18690
5017, 1045, -358, 368, 124810, 81760, 28140
5037, 1175, -413, 552, 113400, 75810, 23030
5057, 988, -452, 551, 87780, 107940, -5180
5077, 697, -378, 506, 92540, 144270, -37660
5097, 690, -327, 574, 68740, 146650, -41650
5117, 980, -307, 694, 41650, 99190, -13720
5137, 1157, -285, 717, 28560, 46550, 20720
5157, 1159, -287, 549, 36680, 39690, 24010
5177, 1075, -241, 417, 39270, 60620, 7910
5197, 1019, -141, 425, 22050, 63770, -2660
5217, 1029, -43, 491, 630, 41370, -3920
5237, 1008, -10, 537, -21910, 2100, 4200
5257, 1011, 26, 518, -19460, -3710, -4200
5277, 1016, 7, 461, -19320, 5460, -9660
5297, 903, 65, 487, -9030, 8050, -13440
5317, 889, 93, 507, -16590, 7070, -14490
5337, 1004, 130, 547, -18690, -7350, -2450
5357, 1019, 67, 507, -12460, -29750, 4690
5377, 976, 73, 437, -700, -33110, -1190
5397, 967, 89, 406, 70, -28140, -5880
5417, 1033, 118, 350, 3430, -35350, -7070
5437, 1037, 137, 384, 910, -34930, -6230
5457, 1056, 163, 393, -2590, -24780, -7210
5477, 1064, 215, 353, 3150, -22680, -13370
5497, 1015, 265, 326, 1680, -14070, -22260
5517, 1191, 259, 308, -2030, -4830, -18690
5537, 1249, 232, 302, -11270, -16380, -7980
5557, 1445, 288, 467, -12250, -24220, 350
5577, 1779, 230, 488, -4550, -37030, 10850
5597, 1865, 135, 476, 1960, -64470, 27230
5617, 1934, 163, 501, 2660, -73080, 25620
5637, 1732, 137, 556, -1610, -68950, 8050
5657, 1540, 143, 491, -5880, -54880, -5390
5677, 1389, 111, 418, -5390, -55230, -19320
5697, 1356, 67, 359, -17220, -89600, -19460
5717, 1292, 51, 361, -29120, -106890, -16730
5737, 1225, 66, 333, -36610, -122430, -17780
5757, 1046, 65, 214, -40740, -110110, -26110
5777, 897, 124, 147, -47670, -89740, -30590
5797, 843, 126, 143, -55440, -98350, -25690
5817, 828, 143, 135, -61180, -116340, -15960
5837, 774, 143, 105, -73990, -143500, -13230
5857, 768, 137, 186, -78470, -164430, -18550
5877, 613, 100, 151, -65450, -147770, -36610
5897, 404, 118, 77, -50050, -113680, -59220
5917, 166, 132, -99, -42560, -90650, -73430
5937, 76, 158, -252, -46970, -85960, -73990
5957, -56, 229, -268, -60340, -116200, -65170
5977, -59, 357, -174, -75530, -129500, -51170
5997, -70, 461, -136, -82670, -137550, -37030
6017, -28, 476, -280, -56840, -108080, -23170
6037, 163, 454, -351, -25550, -45920, -8820
6057, 345, 395, -399, -6580, -16170, 14630
6077, 493, 384, -316, 7980, -21280, 35350
6097, 704, 357, -190, 10850, -22890, 55440
6117, 853, 250, -319, 14070, -16870, 72520
6137, 893, 184, -286, 32550, -210, 78890
6157, 840, 202, -389, 15820, 27510, 41020
6177, 777, 171, -513, 11970, 9520, 8260
6197, 738, 175, -484, 9590, 17780, -2940
6217, 799, 209, -397, -1400, 4760, -7980
6237, 796, 227, -414, -15540, -8330, -10710
6257, 788, 215, -432, -16030, 3500, -10430
6277, 795, 267, -385, -9870, 28420, -7700
6297, 786, 306, -310, -10150, 35350, -7210
6317, 701, 319, -271, -11410, 38780, -5180
6337, 752, 292, -269, -10500, 35630, -700
6357, 761, 252, -219, -10150, 24570, 2520
6377, 759, 274, -168, -7700, 33950, -280
6397, 634, 278, -159, -1750, 46060, -9170
6417, 472, 254, -272, 11690, 72310, -24850
6437, 217, 290, -302, 19180, 92470, -38360
6457, -3, 324, -186, 20160, 91000, -39690
6477, 95, 281, -49, 15260, 61670, -22470
6497, 225, 262, -40, 9800, 19390, 8540
6517, 80, 277, -18, 16870, 8540, 20510
6537, -75, 289, 10, 21840, 61670, 5880
6557, 52, 253, 70, 29820, 107450, -140
6577, 334, 132, 27, 32550, 113470, 23450
6597, 561, 32, -188, 22680, 71120, 71890
6617, 508, 111, 71, -10010, 67130, 58800
6637, 724, 105, 211, -4130, 55090, 48720
6657, 877, 28, 95, 6020, 107590, 36610
6677, 898, 17, 85, 12880, 175280, 18270
6697, 1160, 8, 321, 6370, 184940, 9800
6717, 1330, 83, 450, -20510, 156870, 11620
6737, 1626, 162, 693, -46620, 104650, 13580
6757, 1665, 205, 793, -54950, 65520, 12670
6777, 1467, 366, 859, -33390, 113960, -9100
6797, 1760, 255, 953, -18200, 149380, -12390
6817, 1977, 257, 1010, -21210, 124250, 8890
6837, 1878, 268, 1054, -41580, 76930, 20300
6857, 1631, 328, 994, -44590, 27580, 12530
6877, 1337, 351, 875, -28280, 27930, -6090
6897, 1222, 343, 791, -10010, 45850, -14840
6917, 1152, 269, 691, -5530, 38780, -4340
6937, 1216, 214, 684, -3640, 18480, 11060
6957, 1236, 175, 626, -5180, -280, 22470
6977, 1101, 177, 596, -2310, -9940, 22190
6997, 950, 162, 552, 2660, -2520, 13650
7017, 982, 119, 500, 5670, -1890, 8750
7037, 1012, 92, 513, 2100, -16030, 15540
7057, 993, 65, 502, -2310, -30800, 19670
7077, 985, 34, 470, -210, -32270, 15190
7097, 960, 12, 456, -560, -25620, 9940
7117, 877, -8, 451, -1190, -21560, 4830
7137, 841, -23, 490, -3080, -23310, 3150
7157, 877, -53, 560, -4900, -25410, 5180
7177, 870, -126, 546, -2660, -23380, 6440
7197, 852, -187, 571, -3360, -15820, 6370
