T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
10664, 15, 56, 1036, -420, -840, 560
10684, 11, 55, 1035, -490, -700, 630
10704, 19, 56, 1039, -490, -700, 560
10724, 18, 57, 1041, -420, -840, 560
10744, 17, 56, 1038, -490, -770, 560
10764, 14, 53, 1037, -490, -770, 560
10784, 15, 56, 1039, -490, -700, 560
10804, 14, 56, 1036, -420, -770, 560
10824, 19, 57, 1039, -420, -840, 560
10844, 16, 56, 1040, -490, -770, 560
10864, 14, 54, 1040, -420, -770, 630
10884, 16, 56, 1038, -420, -700, 630
10904, 18, 56, 1039, -490, -700, 560
10924, 16, 59, 1041, -420, -770, 560
10944, 17, 56, 1038, -490, -770, 630
10964, 17, 55, 1040, -420, -770, 630
10984, 15, 55, 1036, -490, -700, 560
11004, 16, 56, 1037, -490, -700, 560
11024, 9, 55, 1042, -420, -770, 560
11044, 25, 59, 1041, -420, -770, 560
11064, 20, 58, 1037, -490, -700, 560
11084, 12, 56, 1037, -490, -700, 560
11104, 14, 55, 1035, -490, -700, 630
11124, 14, 56, 1037, -490, -700, 630
11144, 18, 57, 1042, -490, -770, 560
11164, 17, 59, 1036, -420, -770, 560
11184, 17, 56, 1036, -490, -700, 560
11204, 13, 54, 1035, -490, -630, 560
11224, 16, 56, 1040, -420, -700, 560
11244, 16, 58, 1038, -420, -770, 560
11264, 16, 56, 1041, -490, -770, 560
11284, 14, 57, 1038, -490, -700, 630
11304, 15, 57, 1037, -420, -700, 630
11324, 17, 55, 1037, -490, -700, 560
11344, 16, 56, 1038, -490, -700, 560
11364, 17, 56, 1038, -490, -770, 560
11384, 15, 57, 1037, -490, -770, 560
11404, 17, 55, 1037, -490, -700, 560
11424, 18, 55, 1039, -490, -770, 560
11444, 16, 56, 1037, -490, -770, 560
11464, 16, 56, 1037, -490, -770, 560
11484, 16, 55, 1041, -490, -770, 560
11504, 18, 56, 1040, -420, -770, 560
11524, 14, 56, 1037, -490, -770, 560
11544, 16, 56, 1038, -490, -770, 560
11564, 15, 57, 1039, -420, -770, 560
11584, 16, 58, 1038, -420, -770, 560
11604, 16, 55, 1037, -490, -770, 560
11624, 17, 55, 1037, -420, -700, 560
11644, 14, 57, 1036, -490, -700, 560
11664, 14, 57, 1034, -420, -770, 560
11684, 19, 57, 1039, -420, -770, 630
11704, 17, 55, 1040, -490, -770, 560
11724, 17, 55, 1038, -490, -700, 560
11744, 15, 56, 1037, -420, -700, 560
11764, 17, 56, 1036, -490, -700, 560
11784, 16, 55, 1035, -490, -770, 560
11804, 19, 56, 1044, -490, -770, 560
11824, 18, 57, 1039, -420, -770, 560
11844, 14, 54, 1033, -490, -700, 560
11864, 16, 57, 1028, -490, -700, 560
11884, 11, 57, 1044, -420, -630, 560
11904, 15, 59, 1045, -490, -770, 560
11924, 20, 53, 1044, -420, -700, 630
11944, 14, 58, 1039, -420, -700, 560
11964, 12, 58, 1033, -420, -630, 560
11984, 16, 56, 1035, -420, -700, 560
12004, 16, 57, 1036, -420, -700, 560
12024, 16, 56, 1032, -420, -700, 560
12044, 11, 56, 1033, -490, -700, 560
12064, 13, 57, 1040, -490, -770, 560
12084, 20, 56, 1037, -420, -770, 630
12104, 20, 53, 1040, -420, -770, 560
12124, 11, 55, 1037, -490, -700, 630
12144, 14, 57, 1034, -490, -700, 630
12164, 17, 56, 1036, -420, -770, 560
12184, 17, 55, 1042, -420, -840, 560
12204, 18, 56, 1038, -490, -840, 560
12224, 14, 55, 1039, -420, -770, 560
12244, 17, 57, 1035, -490, -700, 560
12264, 13, 56, 1038, -490, -700, 560
12284, 13, 58, 1036, -420, -770, 630
12304, 16, 56, 1043, -490, -770, 630
12324, 16, 55, 1034, -420, -770, 560
12344, 11, 57, 1037, -490, -840, 630
12364, 14, 59, 1045, -420, -840, 560
12384, 19, 58, 1039, -490, -770, 560
12404, 16, 58, 1033, -490, -700, 560
12424, 13, 55, 1038, -490, -770, 560
12444, 17, 55, 1041, -420, -770, 560
12464, 20, 56, 1040, -420, -770, 630
12484, 17, 55, 1039, -490, -700, 560
12504, 15, 57, 1040, -490, -700, 560
12524, 14, 58, 1038, -490, -700, 560
12544, 14, 59, 1034, -490, -630, 560
12564, 19, 55, 1038, -490, -700, 560
12584, 16, 55, 1038, -490, -770, 630
12604, 15, 54, 1039, -490, -700, 630
12624, 15, 57, 1038, -490, -700, 560
12644, 16, 59, 1040, -490, -700, 560
12664, 14, 57, 1038, -490, -770, 560
12684, 16, 55, 1037, -490, -700, 560
12704, 16, 56, 1038, -490, -700, 560
12724, 17, 56, 1038, -490, -700, 560
12744, 16, 57, 1039, -490, -700, 560
12764, 14, 58, 1037, -490, -630, 630
12784, 21, 57, 1040, -490, -700, 630
12804, 17, 54, 1033, -490, -630, 630
12824, 14, 54, 1040, -490, -630, 630
12844, 18, 56, 1039, -490, -700, 560
