T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
72737, -1806, 1997, -1706, -1282820, 654220, -117110
72757, -1998, 1997, -1757, -1253420, 567840, -437920
72777, -1998, 1997, -1942, -1090180, 581000, -794150
72797, -1998, 1997, -1997, -962710, 579600, -1127420
72817, -1998, 1997, -1997, -673120, 744660, -1319920
72837, -1998, 1997, -1997, -241920, 889910, -1486170
72857, -1998, 1997, -1997, 122850, 1085770, -1325100
72877, -1998, 1997, -1997, 677880, 1434790, -579180
72897, -1998, 1997, -1997, 636860, 1519490, -106960
72917, -1998, 1997, -1997, 475860, 1564710, 278670
72937, -1998, 1997, -1997, 164220, 1544970, 582540
72957, -1998, 1997, -1997, -215250, 1419040, 732760
72977, -1998, 1997, -1997, -564970, 1224650, 757680
72997, -1998, 1997, -1997, -840210, 957530, 626080
73017, -1998, 1997, -1994, -999110, 732340, 470400
73037, -1998, 1997, -1820, -1085630, 521150, 271320
73057, -1998, 1997, -1872, -1116360, 356370, 79520
73077, -1998, 1997, -1771, -1117480, 251440, -77490
73097, -1998, 1997, -1997, -1088990, 171990, -293860
73117, -1998, 1997, -1997, -1104670, 141540, -469420
73137, -1998, 1997, -1997, -1052660, 139860, -701540
73157, -1998, 1997, -1997, -971320, 151620, -948850
73177, -1998, 1997, -1997, -812840, 236740, -1195600
73197, -1998, 1997, -1997, -525910, 434000, -1410850
73217, -1998, 1997, -1997, -197050, 658000, -1515010
73237, -1998, 1997, -1997, 161000, 888510, -1444100
73257, -1998, 1997, -1997, 694750, 1267910, -808150
73277, -1998, 1997, -1997, 739340, 1371090, -394030
73297, -1998, 1997, -1997, 626430, 1424010, -22050
73317, -1998, 1997, -1997, 387800, 1480850, 307720
73337, -1998, 1997, -1997, 56560, 1484560, 504280
73357, -1998, 1997, -1997, -339570, 1429050, 594930
73377, -1998, 1997, -1997, -756140, 1302210, 563360
73397, -1998, 1997, -1997, -1081990, 1139950, 391790
73417, -1998, 1997, -1997, -1319990, 914550, 84000
73437, -1998, 1997, -1997, -1418200, 726880, -267330
73457, -1998, 1997, -1997, -1424570, 538580, -668010
73477, -1998, 1997, -1997, -1239840, 443660, -1083810
73497, -1998, 1997, -1997, -950040, 449330, -1414630
73517, -1998, 1997, -1997, -523950, 608090, -1568980
73537, -1998, 1997, -1997, -52640, 859530, -1477700
73557, -1998, 1997, -1997, 334670, 941710, -1360940
73577, -1998, 1997, -1997, 611520, 1096830, -981190
73597, -1998, 1997, -1997, 800660, 1145900, -671300
73617, -1998, 1997, -1997, 795970, 1166060, -279020
73637, -1998, 1997, -1997, 587790, 1127350, 246820
73657, -1998, 1997, -1885, 454090, 1147860, 409290
73677, -1998, 1997, -1867, 202370, 1088920, 502110
73697, -1998, 1997, -1997, -52570, 1107820, 614460
73717, -1998, 1997, -1997, -357910, 1087660, 653520
73737, -1998, 1997, -1997, -616490, 1076530, 656250
73757, -1998, 1997, -1997, -927360, 927220, 570990
73777, -1998, 1997, -1997, -1184050, 732410, 462560
73797, -1998, 1997, -1997, -1377670, 437150, 275100
73817, -1998, 1997, -1997, -1430520, 168840, 68740
73837, -1998, 1997, -1997, -1346590, 3430, -134540
73857, -1998, 1997, -1997, -1324680, -165830, -314230
73877, -1998, 1997, -1997, -1204630, -169890, -442610
73897, -1998, 1997, -1997, -1250620, -212940, -588630
73917, -1998, 1997, -1997, -1092980, -84070, -768040
73937, -1998, 1997, -1997, -1052100, 15750, -944650
73957, -1998, 1997, -1997, -829570, 261100, -1124130
73977, -1998, 1997, -1997, -619500, 490000, -1326220
73997, -1998, 1997, -1997, -329630, 842520, -1320410
74017, -1998, 1997, -1997, 254240, 1363950, -1015840
74037, -1998, 1997, -1997, 381920, 1649970, -565180
74057, -1998, 1997, -1997, 364700, 1867040, -136220
74077, -1998, 1997, -1997, -44800, 1999270, 398860
74097, -1998, 1997, -1997, -612570, 2009000, 658490
74117, -1998, 1997, -1997, -1303540, 1638980, 513940
74137, -1998, 1997, -1997, -1629740, 1266510, 114660
74157, -1998, 1997, -1997, -1724380, 815010, -482370
74177, -1998, 1997, -1997, -1495760, 669550, -929670
74197, -1998, 1997, -1997, -1164240, 576520, -1383900
74217, -1998, 1997, -1997, -698600, 699440, -1546370
74237, -1998, 1997, -1997, -240240, 781550, -1558690
74257, -1998, 1997, -1997, 152110, 896560, -1266790
74277, -1998, 1997, -1997, 471450, 878570, -1011850
74297, -1998, 1997, -1997, 602420, 846930, -680470
74317, -1998, 1997, -1997, 735280, 864500, -469770
74337, -1998, 1997, -1997, 748650, 942200, -248990
74357, -1998, 1997, -1997, 765800, 1075200, -95480
74377, -1998, 1997, -1997, 675920, 1212750, 147070
74397, -1998, 1997, -1997, 181440, 1532090, 668290
74417, -1998, 1997, -1997, -317100, 1576190, 861980
74437, -1998, 1997, -1997, -843010, 1391040, 785400
74457, -1998, 1997, -1997, -1258740, 1153600, 617330
74477, -1998, 1997, -1997, -1526630, 806820, 228270
74497, -1998, 1997, -1997, -1598520, 572390, -142030
74517, -1998, 1997, -1997, -1549590, 391090, -560420
74537, -1998, 1997, -1997, -1329790, 384580, -910490
74557, -1998, 1997, -1997, -1047830, 438900, -1218350
74577, -1998, 1997, -1997, -696990, 611030, -1367100
74597, -1998, 1997, -1997, -300720, 776160, -1449910
74617, -1998, 1997, -1997, 42210, 958160, -1298010
74637, -1998, 1997, -1997, 386820, 1158500, -1006460
74657, -1998, 1997, -1997, 612500, 1209040, -753270
74677, -1998, 1997, -1997, 761040, 1351070, -317870
74697, -1998, 1997, -1997, 815290, 1397690, 18830
74717, -1998, 1997, -1997, 645050, 1465170, 441140
74737, -1998, 1997, -1997, 379050, 1487360, 700350
74757, -1998, 1997, -1997, -31290, 1443960, 920290
74777, -1998, 1997, -1997, -787360, 1066100, 972930
74797, -1998, 1997, -1997, -1035580, 772800, 861000
74817, -1998, 1997, -1997, -1146460, 481040, 692160
74837, -1998, 1997, -1997, -1159480, 255430, 561750
74857, -1998, 1997, -1997, -1143520, 60480, 431340
74877, -1998, 1997, -1997, -1114680, -48650, 355040
