T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
2636, -142, -57, 1051, -2940, 30730, -21000
2656, -90, -16, 1042, -5880, 38150, -24850
2676, -138, -71, 963, -8680, 45500, -25130
2696, -174, -42, 1024, 3220, 31360, -15750
2716, -261, -17, 1112, 19110, 9240, -6230
2736, -195, -47, 1037, 26320, -6580, -6370
2756, -177, -27, 1019, 36050, -17010, -16520
2776, -187, 1, 1049, 45080, -19530, -32060
2796, 31, 133, 1154, 18830, 4410, -72870
2816, -170, -47, 1053, 2380, 32340, -76020
2836, -158, -87, 985, -25760, 70700, -73780
2856, -237, -68, 983, -19600, 66500, -82670
2876, -425, -21, 1048, -15050, 51310, -84910
2896, -45, -304, 1068, -25550, 28420, -59360
2916, -236, -87, 869, -8330, -21840, -25760
2936, -228, -190, 1048, 10640, -21910, -8540
2956, -89, -160, 930, 2660, -5180, -5040
2976, -257, -37, 989, 23450, 3220, -10500
2996, -311, -47, 1001, 18270, 17850, -18550
3016, -279, -67, 956, 15820, 39130, -8750
3036, -238, -138, 968, 18620, 58170, 8260
3056, -273, -55, 955, 17010, 63980, 6580
3076, -325, -11, 914, 19530, 52080, -8120
3096, -289, -28, 926, 22330, 44030, -5180
3116, -292, -91, 924, 29960, 44100, -630
3136, -294, -13, 862, 42420, 53340, 10360
3156, -415, 78, 907, 51170, 75530, 29400
3176, -426, 120, 894, 47110, 93800, 42910
3196, -427, 108, 846, 48580, 81620, 42350
3216, -419, 61, 852, 53620, 68320, 33740
3236, -481, 178, 830, 53200, 72170, 30380
3256, -536, 145, 841, 59850, 76930, 29820
3276, -665, 335, 809, 63770, 87290, 40740
3296, -637, 337, 817, 64120, 94010, 56980
3316, -527, 195, 788, 59360, 92260, 51800
3336, -705, 404, 800, 64960, 74340, 36750
3356, -697, 454, 721, 64890, 70000, 28630
3376, -705, 376, 725, 66150, 52570, 22120
3396, -668, 410, 655, 70140, 50540, 36120
3416, -590, 358, 651, 70350, 53410, 45990
3436, -575, 362, 625, 71470, 48160, 46060
