T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
5012, -598, 1582, -410, -237860, -50820, 112630
5032, -750, 1997, -522, -220920, -101640, 110460
5052, -738, 1920, -497, -197470, -150920, 101780
5072, -593, 1467, -423, -186340, -223020, 65030
5092, -510, 1328, -396, -191310, -306810, 21700
5112, -497, 1353, -405, -178920, -354690, 11830
5132, -579, 1445, -390, -161280, -352100, 72940
5152, -680, 1527, -389, -147840, -316190, 294420
5172, -659, 1378, -377, -146860, -374500, 296170
5192, -587, 1352, -444, -124950, -457030, 228690
5212, -530, 1492, -472, -51590, -482510, 182490
5232, -566, 1414, -395, 8470, -429730, 263830
5252, -585, 1224, -292, 42210, -371770, 380030
5272, -543, 1052, -263, 54600, -395710, 378070
5292, -478, 889, -262, 64750, -459690, 312760
5312, -392, 772, -276, 98490, -506450, 239750
5332, -325, 681, -250, 163380, -503230, 196700
5352, -309, 631, -180, 250320, -445830, 206570
5372, -324, 576, -120, 313740, -392490, 229810
5392, -339, 534, -96, 321860, -390670, 232680
5412, -353, 506, -92, 296800, -434490, 209930
5432, -359, 490, -111, 256480, -499380, 177310
5452, -337, 483, -157, 208040, -564480, 147350
5472, -304, 502, -188, 173740, -601300, 128380
5492, -287, 552, -177, 174300, -586950, 128030
5512, -303, 638, -155, 188160, -532980, 155750
5532, -343, 743, -150, 181370, -472220, 213920
5552, -402, 938, -192, 147070, -426860, 290500
5572, -468, 1189, -313, 91280, -393820, 378420
5592, -613, 1490, -394, 39270, -338590, 479920
5612, -769, 1990, -503, 54950, -244510, 531370
5632, -698, 1997, -575, 105140, -217910, 399350
5652, -606, 1892, -502, 116690, -234010, 225050
5672, -571, 1760, -536, 80430, -163520, 246190
5692, -742, 1903, -439, 49910, -30100, 368550
5712, -784, 1997, -528, 82810, 139720, 458710
5732, -716, 1997, -578, 44870, 190540, 393120
5752, -653, 1996, -583, -8610, 182490, 250810
5772, -688, 1809, -506, -62300, 240520, 225890
5792, -718, 1778, -515, -112910, 354620, 289940
5812, -678, 1675, -516, -181650, 432880, 300650
5832, -598, 1470, -421, -252490, 460180, 215600
5852, -522, 1248, -366, -279860, 492730, 103810
5872, -452, 1027, -326, -446250, 540400, -4130
5892, -386, 824, -327, -532140, 556360, -43400
5912, -359, 686, -312, -560280, 589890, -109200
5932, -365, 587, -277, -522060, 652330, -183330
5952, -386, 516, -218, -460670, 716520, -249060
5972, -389, 477, -154, -406980, 744520, -312690
5992, -372, 467, -116, -375200, 732270, -361270
6012, -333, 448, -121, -373240, 691600, -376950
6032, -304, 433, -124, -376740, 647430, -355670
6052, -293, 405, -99, -369950, 613270, -299110
6072, -277, 377, -82, -372750, 571200, -223650
6092, -253, 345, -80, -390040, 506800, -156170
6112, -241, 334, -84, -407400, 430570, -101430
6132, -240, 340, -99, -409220, 357140, -56280
6152, -254, 417, -103, -394660, 290360, -19180
6172, -275, 569, -127, -374780, 225190, 10570
6192, -328, 769, -202, -370790, 164150, 57470
6212, -426, 1042, -335, -388150, 116340, 133420
6232, -684, 1750, -534, -377860, 93100, 191310
6252, -972, 1997, -541, -274960, 75040, 140420
6272, -835, 1997, -629, -156380, -16730, -41090
6292, -585, 1838, -551, -241570, -223370, -210420
6312, -553, 1511, -496, -326340, -289100, -159740
6332, -675, 1794, -519, -328300, -232890, 12530
6352, -948, 1997, -602, -262220, -195650, 97230
6372, -977, 1997, -762, -238770, -231420, 130060
6392, -777, 1966, -623, -303730, -362530, 128380
6412, -637, 1592, -520, -258930, -461650, 79730
6432, -583, 1480, -484, -189140, -485520, 105560
6452, -665, 1568, -423, -142170, -469770, 201390
6472, -754, 1629, -455, -89810, -430150, 337750
6492, -741, 1501, -449, -53340, -426300, 434910
6512, -653, 1318, -401, -27510, -483000, 448210
6532, -527, 1095, -387, 47180, -550480, 376600
6552, -437, 888, -302, 125160, -596890, 304710
6572, -379, 703, -217, 220150, -582400, 288190
6592, -357, 497, -148, 354830, -541800, 283010
6612, -352, 376, -127, 377580, -575120, 238210
6632, -348, 310, -137, 388990, -642110, 156800
6652, -338, 270, -167, 391090, -717220, 74550
6672, -316, 242, -184, 390040, -776230, 14350
6692, -292, 228, -188, 395360, -807240, -18620
6712, -252, 219, -193, 400890, -814450, -21840
6732, -195, 227, -195, 414960, -792890, 9170
6752, -142, 256, -182, 449820, -731920, 81060
6772, -124, 348, -144, 510230, -629650, 193620
6792, -150, 460, -100, 576870, -503090, 335650
6812, -226, 671, -69, 623840, -374850, 473060
6832, -358, 1019, -88, 617260, -264390, 588490
6852, -793, 1944, -219, 527590, -183820, 679700
6872, -1063, 1997, -698, 319270, -195510, 681240
6892, -647, 1997, -1129, 125370, -417340, 327040
6912, -612, 1997, -528, 353640, -456680, -152670
6932, -497, 1623, -366, 536130, -186760, -110460
6952, -497, 1434, -290, 379890, -56770, 66220
6972, -568, 1357, -418, 257600, 54810, 169610
6992, -699, 1985, -718, 187180, 142520, 129570
7012, -907, 1997, -569, 318080, 243180, -96880
7032, -748, 1997, -501, 428610, 371630, -178990
7052, -603, 1637, -498, 161700, 385280, -78260
7072, -575, 1398, -535, -1120, 420840, -42070
7092, -665, 1437, -458, 8190, 559720, -21700
7112, -703, 1432, -261, 86590, 733740, 980
7132, -580, 1245, -397, 36820, 819140, 34930
7152, -539, 1143, -460, -201740, 757750, 28700
7172, -558, 1037, -422, -332290, 748720, -9520
7192, -547, 962, -387, -353500, 827260, -17990
7212, -517, 785, -331, -389900, 886760, -28000
7232, -463, 607, -292, -448560, 917910, -43400
7252, -421, 517, -257, -517160, 911120, -101710
7272, -402, 486, -199, -536900, 882420, -220990
7292, -373, 424, -175, -502530, 869750, -361690
7312, -353, 360, -149, -477890, 835450, -351260
7332, -339, 350, -106, -461440, 798210, -324450
7352, -312, 356, -82, -460250, 731850, -288750
7372, -270, 403, -101, -481110, 640150, -247310
7392, -246, 465, -150, -510930, 553420, -182280
7412, -267, 538, -203, -539210, 498260, -70700
7432, -318, 622, -270, -566580, 462770, 58450
7452, -367, 746, -349, -576660, 435680, 155890
7472, -468, 1030, -430, -523950, 427770, 186690
7492, -782, 1750, -529, -388710, 438200, 138600
7512, -997, 1997, -399, -178780, 392070, -44730
7532, -627, 1934, -482, -136290, 146370, -341040
7552, -425, 1328, -435, -335510, -92400, -412720
7572, -399, 1098, -362, -371980, -94850, -276220
7592, -513, 1330, -369, -299670, -35070, -141820
7612, -773, 1993, -425, -215460, -19180, -67550
7632, -984, 1997, -716, -199080, -103950, -53480
7652, -807, 1997, -675, -262360, -292740, -98140
7672, -654, 1697, -492, -186410, -420770, -170100
7692, -600, 1512, -452, -108640, -478030, -160510
7712, -626, 1456, -437, -126980, -513940, -40320
7732, -675, 1446, -469, -140280, -529340, 113890
7752, -708, 1383, -418, -119490, -555450, 225610
7772, -634, 1194, -407, -50820, -604100, 245700
7792, -523, 884, -363, -3080, -686910, 207690
7812, -453, 776, -328, 34230, -739340, 208250
7832, -376, 808, -299, 124180, -723100, 237720
7852, -378, 686, -240, 230370, -668920, 281330
7872, -444, 603, -112, 310170, -599340, 379260
7892, -451, 506, -144, 371280, -575890, 416430
7912, -431, 417, -214, 356160, -665280, 344120
7932, -427, 341, -213, 327740, -787220, 249830
7952, -418, 294, -235, 339710, -866950, 176540
7972, -370, 255, -279, 355530, -925610, 107870
7992, -305, 264, -290, 357770, -969220, 50610
8012, -225, 295, -271, 438340, -895860, 35490
8032, -194, 397, -202, 497560, -796180, 115220
8052, -164, 415, -183, 536620, -686420, 271670
8072, -196, 568, -143, 577220, -549290, 457240
8092, -283, 809, -129, 625520, -394450, 582120
8112, -558, 1545, -115, 615230, -273210, 653520
8132, -1165, 1997, -487, 454370, -240100, 701960
8152, -1026, 1997, -1204, 167090, -423150, 500150
8172, -622, 1994, -652, 315770, -589960, -64400
8192, -426, 1413, -389, 546490, -380170, -162400
8212, -374, 1310, -347, 464870, -237370, -32760
8232, -523, 1425, -294, 391930, -73360, 128590
8252, -722, 1735, -491, 317310, 68740, 217210
8272, -887, 1997, -791, 285250, 87850, 21000
8292, -750, 1997, -514, 386400, 100870, -261100
8312, -549, 1629, -457, 293300, 165200, -243600
8332, -513, 1379, -356, 152040, 228060, -148400
8352, -511, 1197, -410, 99610, 342720, -51170
8372, -586, 1313, -349, 90440, 450800, -15190
8392, -607, 1382, -230, 174090, 550270, -60690
8412, -536, 1224, -303, 129710, 565040, -73150
8432, -483, 1089, -288, -26530, 508200, -59640
