T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
28412, -330, -868, 50, 10290, 27020, -16100
28432, -375, -842, 52, -7210, 60550, -34860
28452, -397, -949, 18, -8470, 85680, -42070
28472, -358, -970, -17, -210, 77140, -31570
28492, -343, -933, 77, -560, 46620, -14770
28512, -306, -924, 71, -19950, 24010, -16590
28532, -387, -904, 24, -45710, -5110, -11970
28552, -410, -902, 38, -96600, -17430, 4480
28572, -389, -965, -63, -107940, -21490, 29050
28592, -486, -954, -181, -126140, 3290, 33740
28612, -422, -910, -141, -85680, 12810, 32970
28632, -469, -1091, -188, 7280, -6720, 42210
28652, -333, -859, -555, 49700, -6510, 10920
28672, -269, -700, -212, 92610, 6860, -9800
28692, -415, -898, -38, 72240, 49840, -15890
28712, -399, -921, 86, 29330, 89740, -14630
28732, -357, -981, -3, 1470, 32410, -27370
28752, -413, -932, -9, -1330, -9030, -14980
28772, -438, -978, 59, -13440, -40670, -17570
28792, -392, -936, -85, -29750, -59570, -34790
28812, -316, -1036, -111, -35700, -56000, -26110
28832, -429, -1056, 44, -47180, -26110, -13230
28852, -368, -895, 9, -19390, -7070, 18410
28872, -369, -863, -34, 910, -25410, 7280
28892, -437, -931, -109, 15680, -43190, 5810
28912, -430, -880, -58, 31150, -52850, 38990
28932, -503, -879, -24, 37100, -54740, 78330
28952, -260, -960, 17, 20440, -60550, 67760
28972, -413, -821, 80, 3850, -59010, 68040
28992, -507, -834, 97, 14280, -34510, 25830
29012, -362, -868, 25, 14140, -38570, 26320
29032, -441, -880, -14, 10920, -50470, 52570
29052, -456, -865, 20, 490, -20790, 42630
29072, -478, -857, 55, -140, -1260, 21420
29092, -489, -849, 33, 980, -2870, 7350
29112, -573, -875, 45, 7770, -11900, 2590
29132, -508, -907, 39, 10710, -18550, 4480
29152, -501, -852, -53, 14910, -28770, 25690
29172, -485, -844, -30, 3570, 27230, 47390
29192, -573, -792, 90, -12950, 54530, 51730
29212, -541, -896, 74, -8890, 40320, 51030
29232, -752, -932, 74, 2870, 9870, 26390
29252, -680, -906, 64, 26530, -54880, 17850
29272, -548, -777, 111, 46620, -92960, 34860
29292, -417, -781, 51, 25690, -63910, 47950
29312, -502, -789, 89, 7840, -11830, 39060
29332, -633, -819, 129, -15330, 45640, 10360
29352, -672, -845, 80, -17990, 56840, -3710
29372, -585, -789, 107, -2380, 35280, 13650
29392, -512, -782, 98, 4830, 11760, 21630
29412, -499, -782, 95, 6580, -6510, 2660
29432, -576, -817, 69, 980, 5320, -13930
29452, -614, -818, 52, -7910, 24360, -18620
29472, -594, -778, 40, -8680, 29330, -18410
29492, -538, -788, 24, -1890, 12110, -6160
29512, -571, -802, 67, 2940, -2660, 3920
29532, -566, -802, 30, -2030, 140, -1680
29552, -606, -816, 23, -3150, 2170, -4200
29572, -596, -802, 41, -210, 910, -2310
29592, -533, -803, 13, 0, -7490, 3010
29612, -635, -810, 35, 3290, -14630, 9380
29632, -619, -799, 50, 980, -6720, -1050
29652, -616, -809, 98, 1190, -10500, 4550
29672, -599, -801, 82, -560, -8400, 10220
29692, -591, -773, 94, 280, -8120, 14350
29712, -587, -799, 95, -2030, -9380, 7770
29732, -577, -824, 57, -2030, -13370, 8330
29752, -648, -813, 64, -420, -11060, 1960
29772, -582, -807, 73, -2660, -11340, 2590
29792, -645, -780, 97, -1400, -11410, 12670
29812, -563, -787, 88, -3780, -8330, 14350
29832, -621, -799, 72, -1470, -12740, 16800
29852, -616, -781, 99, -2730, -9520, 9450
29872, -611, -790, 72, -5320, -10920, 10920
29892, -614, -780, 67, -840, -16520, 13160
29912, -632, -786, 89, -2030, -14350, 9170
29932, -627, -768, 90, -5810, -9030, 6930
29952, -608, -771, 73, -5810, -7420, 11830
29972, -645, -777, 91, -3920, -8260, 14140
29992, -625, -766, 79, -5740, -1120, 5530
30012, -653, -788, 99, -6090, 3080, -2030
30032, -597, -791, 45, -7210, 4830, -2310
30052, -626, -762, 69, -4410, -2660, 4340
30072, -615, -762, 111, -1400, -3080, -280
30092, -522, -723, 156, -4340, -10850, -6020
30112, -34, -726, 6, -3430, -44660, -5460
30132, 738, -803, -403, 32410, -84350, 56420
30152, -3, -515, -43, 124250, -123620, 346430
30172, -55, -392, -132, 31360, -128800, 284760
30192, 3, -181, -51, -62440, -66010, 34090
30212, -39, -282, -117, -102270, 12320, -168350
30232, -57, -268, -36, -131390, 77700, -333620
30252, 17, -1023, -361, -142030, 147350, -509600
30272, 1997, -1998, -1867, -159880, 214830, -717010
30292, 277, -778, -25, -4690, 184240, -691670
30312, 12, -642, -183, 140, -152670, -223230
30332, 459, -1917, -1030, -300300, -341460, -265790
30352, 1368, -1998, -1115, -356790, -297360, -496160
30372, 466, -1166, 316, 41230, -59500, -607250
30392, 309, -1198, -706, 64610, -218540, -435120
30412, 686, -1998, -1043, -503720, -656600, -308910
30432, 390, -1195, 209, -336980, -678090, -339150
30452, 294, -764, 120, 309680, -387170, -342370
30472, 400, -1374, -1236, 910, -544810, -285880
30492, 278, -1025, -734, -501270, -984270, -54460
30512, 152, -516, -203, -225260, -872970, 63140
30532, 138, -284, -41, 140980, -479080, -83440
30552, 231, -300, -185, -28490, -297080, -269710
30572, 278, -352, -299, -59710, -383460, -158900
30592, 264, -454, -410, 29610, -393050, -9730
30612, 202, -430, -308, 166250, -272930, 56630
30632, 143, -441, -239, 251300, -80220, 10500
30652, 142, -560, -212, 235410, 84980, -96180
30672, 285, -913, -262, 154560, 201880, -229320
30692, 669, -1558, -531, 48090, 262430, -340340
30712, 765, -1708, -525, 28980, 267260, -333900
30732, 345, -1156, -281, 131250, 220430, -172690
30752, 320, -1262, -467, 113960, 170240, -112490
30772, 725, -1997, -889, 30030, 217630, -246330
30792, 758, -1726, -295, 106470, 379120, -391720
30812, 456, -1371, -210, 269150, 435750, -314930
30832, 607, -1833, -821, 158410, 240380, -149590
30852, 627, -1718, -711, 44870, 147350, -179060
30872, 450, -1182, -110, 203350, 298690, -285180
30892, 451, -1093, -218, 309400, 357140, -269990
30912, 497, -1247, -542, 157080, 187040, -185990
30932, 415, -1087, -489, 58170, 60690, -140490
30952, 284, -771, -194, 130830, 105280, -146090
30972, 250, -592, -59, 215600, 189630, -171360
30992, 239, -495, -82, 181020, 170590, -184100
