T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
19974, -159, 825, -215, -34720, 705530, -328160
19994, -131, 981, -484, -309820, 754250, 11410
20014, 76, 1995, -729, -558040, 698810, 160230
20034, -232, 1509, -256, -434980, 571200, 153160
20054, -4, 1809, -171, 6790, 224770, -21840
20074, 187, 1997, -602, -285600, -49840, -255500
20094, 67, 1611, -654, -645820, -51170, -56280
20114, -122, 1491, -305, -381080, -13790, 263900
20134, -97, 1997, -371, -117040, -128170, 312830
20154, 111, 1997, -674, -219240, -412440, 64610
20174, -105, 1462, -604, -492100, -510020, 125090
20194, -122, 1438, -424, -406350, -482930, 419090
20214, -152, 1889, -360, -21700, -576240, 489790
20234, -198, 1531, -483, 29750, -701820, 442050
20254, -233, 1067, -481, -208460, -815570, 424550
20274, -320, 840, -317, -154490, -869400, 536690
20294, -288, 1137, -424, 135380, -940380, 547400
20314, -245, 1089, -470, 236950, -1089200, 347270
20334, -317, 628, -374, 152600, -1181040, 245000
20354, -403, 394, -312, 80780, -1176280, 314090
20374, -435, 531, -348, 98700, -1179080, 346290
20394, -333, 799, -475, 130970, -1244810, 247520
20414, -273, 632, -475, 58380, -1315370, 145880
20434, -304, 370, -322, 43540, -1193990, 364210
20454, -306, 369, -259, 154840, -1136310, 407400
20474, -280, 469, -287, 171080, -1121190, 356230
20494, -238, 642, -359, 120960, -1103900, 301000
20514, -182, 863, -438, 83300, -1063720, 267050
20534, -164, 1038, -449, 87150, -1000580, 235760
20554, -132, 1245, -428, 104790, -944020, 151410
20574, -76, 1244, -468, 11410, -901250, 24920
20594, -15, 1270, -543, -177100, -821940, -35070
20614, 50, 1513, -587, -247520, -704760, -32270
20634, 100, 1809, -586, -181300, -574140, -27440
20654, 156, 1927, -594, -143570, -448280, -57540
20674, 145, 1754, -644, -259980, -306530, -88130
20694, 160, 1828, -700, -405230, -145320, -98630
20714, 147, 1880, -616, -353430, -5320, -143640
20734, 138, 1850, -586, -201740, 124390, -209160
20754, 103, 1693, -651, -199500, 260120, -279300
