,AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
381,737,406,1082,-9660,13860,-174580
382,362,-247,1218,-13860,55790,-209020
383,38,-1051,1259,7840,87290,-220360
384,-407,-1648,1389,37590,100380,-217070
385,-702,-1940,1459,52640,115010,-184520
386,-1034,-1913,1411,67340,132930,-113400
387,-1136,-1375,1253,112490,96530,-40040
388,-740,-526,369,144550,-8680,25970
389,-487,192,-60,136640,-68530,91140
390,103,524,-245,72940,-27090,157570
391,395,373,394,-48160,91490,217350
392,840,284,696,-151200,164570,230440
393,776,1,1194,-169050,90860,170030
394,502,-228,1499,-134260,84210,95830
395,181,-140,1245,-64610,36050,5950
396,-24,-127,983,-5320,-30520,-48370
397,-146,-383,1104,-1680,-5040,-43680
398,-153,-506,1224,-18060,49630,-17640
399,-99,-445,1249,-16450,62650,-9170
