T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
32504, -65, 1310, -266, -113960, -81690, -34650
32524, -138, 1200, -163, -77210, -136640, 27860
32544, -74, 1507, -349, -161210, -250740, -37380
32564, 17, 1812, -576, -310800, -376950, -140210
32584, -3, 1605, -460, -325640, -415940, -100590
32604, -80, 1820, -395, -198450, -393610, 39900
32624, -56, 1997, -591, -206150, -391020, 128730
32644, -36, 1997, -667, -372890, -439950, 122010
32664, -28, 1952, -590, -430850, -462490, 146510
32684, -20, 1997, -572, -318920, -456050, 198730
32704, -44, 1997, -607, -262710, -437920, 251300
32724, -54, 1918, -606, -290430, -403270, 321090
32744, -35, 1800, -513, -281960, -378910, 364560
32764, -28, 1615, -455, -184380, -370160, 355530
32784, -66, 1298, -376, -146230, -323470, 364350
32804, -80, 1088, -324, -122710, -302820, 374850
32824, -62, 1058, -291, -46200, -304990, 335160
32844, -46, 1006, -252, 20650, -313530, 271810
32864, -32, 904, -228, 30520, -313740, 227150
32884, -65, 670, -150, 12740, -298130, 222460
32904, -73, 528, -121, -700, -284060, 229740
32924, -90, 419, -94, -3920, -291690, 210210
32944, -94, 389, -86, 8680, -307370, 171500
32964, -76, 423, -100, 20090, -336700, 104300
32984, -63, 458, -116, 20790, -364630, 41510
33004, -36, 545, -156, 10150, -375970, 12530
33024, -3, 807, -237, -2870, -371280, 13790
33044, -24, 1207, -277, -6440, -333130, 55510
33064, -24, 1408, -343, -31150, -269430, 104370
33084, -18, 996, -320, -162260, -226310, 80850
33104, 8, 885, -314, -306040, -195930, 8960
33124, 56, 1306, -414, -316820, -151550, -49210
33144, 112, 1997, -657, -261100, -81270, -60340
33164, 50, 1994, -620, -310030, 136430, 2240
33184, 24, 1488, -505, -399210, 207480, -75390
33204, 92, 1902, -634, -374290, 239820, -213010
33224, 104, 1997, -720, -293650, 318430, -258370
33244, -6, 1783, -541, -289660, 427910, -244930
33264, -19, 1701, -592, -348670, 491610, -304780
33284, -3, 1859, -589, -286090, 495880, -453880
33304, -53, 1622, -448, -129150, 535500, -505470
33324, -111, 1353, -414, -108710, 599760, -476910
33344, -118, 1369, -488, -140210, 627410, -500710
33364, -120, 1521, -464, -20020, 633080, -541660
33384, -148, 1470, -369, 168560, 662760, -475510
33404, -164, 1165, -290, 208180, 685300, -368900
33424, -152, 896, -240, 135170, 659330, -338030
33444, -114, 792, -199, 108010, 603050, -352100
33464, -90, 796, -157, 144130, 556710, -320180
33484, -85, 892, -162, 160230, 534030, -212030
33504, -117, 986, -209, 107450, 514500, -72940
33524, -142, 898, -192, 17710, 478310, 34510
33544, -118, 730, -104, 17360, 279300, -46830
33564, -75, 698, -61, 52990, 149380, -145880
33584, -43, 728, -65, 6860, 50260, -164850
33604, -45, 815, -116, -86870, -17780, -106330
33624, -41, 1027, -240, -172270, -76090, -21210
33644, -96, 1377, -313, -193900, -126560, 56000
33664, -112, 1579, -288, -148750, -193620, 59710
33684, -43, 1286, -332, -203210, -325640, -71750
33704, -7, 1256, -383, -340900, -410200, -134190
33724, 45, 1835, -622, -377230, -408730, -48650
33744, -81, 1915, -427, -292950, -352240, 136290
33764, -155, 1598, -303, -160720, -310870, 267680
33784, 16, 1983, -737, -330260, -384860, 171920
33804, 41, 1826, -736, -567770, -465080, 75040
33824, 14, 1997, -519, -394730, -408870, 211330
33844, -86, 1997, -626, -74760, -313390, 377440
33864, -4, 1997, -770, -243600, -283150, 404530
33884, -7, 1598, -522, -467320, -318570, 332150
33904, 16, 1752, -454, -287280, -312130, 327320
33924, -39, 1736, -434, -77980, -223440, 402570
33944, -78, 1367, -414, -182910, -200550, 407330
33964, -67, 1139, -333, -165270, -201530, 365820
33984, -30, 1012, -273, -55510, -230930, 268240
34004, -28, 891, -195, 12740, -231490, 226310
34024, -58, 698, -123, 11900, -219800, 228620
34044, -87, 536, -111, -43050, -212520, 257460
34064, -106, 407, -93, -75880, -229740, 258510
34084, -120, 345, -71, -54390, -263270, 213360
34104, -104, 367, -74, -14560, -314650, 119210
34124, -85, 398, -88, 5950, -372260, 17290
34144, -64, 442, -105, -2170, -412020, -38990
34164, -59, 489, -123, -25480, -430780, -42700
34184, -72, 528, -139, -51450, -430080, -3290
34204, -63, 641, -188, -75390, -421050, 45920
34224, -65, 951, -240, -95480, -409080, 73430
34244, -11, 1531, -403, -120610, -381850, 80080
34264, 78, 1925, -664, -206990, -350210, 54600
34284, 44, 1564, -523, -334950, -290010, 37660
34304, 14, 1377, -403, -241500, -64750, 77350
34324, 51, 1707, -486, -269290, 13090, 32060
34344, 161, 1997, -819, -393610, 88690, -26110
34364, 103, 1997, -849, -446390, 221620, -10430
34384, 12, 1997, -599, -329000, 353570, -11270
34404, 87, 1997, -731, -321720, 405790, -147840
34424, 126, 1997, -844, -401590, 441770, -317940
34444, -35, 1835, -638, -384650, 550620, -358260
34464, -110, 1817, -607, -291340, 671580, -346710
34484, -103, 1920, -614, -215390, 695240, -471100
34504, -110, 1619, -493, -92260, 687470, -619570
34524, -156, 1330, -460, -34790, 731290, -631120
34544, -208, 1204, -455, -36890, 799820, -564970
34564, -227, 1155, -403, 43750, 845250, -502530
34584, -252, 985, -293, 178360, 861840, -432880
34604, -242, 745, -171, 241010, 855400, -352870
34624, -202, 582, -97, 213710, 808640, -315770
34644, -143, 480, -75, 146580, 732480, -309190
34664, -116, 413, -53, 70630, 653030, -287420
34684, -108, 350, -19, -20160, 525070, -151480
34704, -96, 308, -12, -51870, 451780, -83790
34724, -90, 276, -26, -73360, 369880, -37940
34744, -106, 245, -21, -66360, 291900, -15330
34764, -131, 260, -9, -27860, 212030, -33110
34784, -140, 429, -30, 23240, 113050, -104930
34804, -116, 867, -125, 61880, -3990, -204750
34824, 52, 1997, -474, 60970, -121940, -276570
34844, 9, 1660, -411, -14420, -197400, -230160
34864, -168, 926, -178, -132370, -209440, -73850
34884, -158, 1533, -353, -143430, -274050, -68600
34904, 109, 1997, -828, -157710, -435260, -271040
34924, 24, 1881, -510, -193970, -530810, -357420
34944, -120, 1997, -492, -220570, -450660, -122430
34964, 0, 1997, -808, -300930, -418110, 21350
34984, 67, 1997, -750, -410480, -526470, -97440
35004, 15, 1997, -687, -408870, -560700, -111370
35024, -33, 1997, -684, -373800, -492380, 45290
35044, -38, 1997, -680, -397040, -444220, 164850
35064, 24, 1987, -671, -409430, -460530, 158410
35084, -3, 1839, -581, -332640, -421470, 219660
