T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
28004, -615, 1136, -101, -513030, 641410, -328440
28024, -550, 1174, -278, -287140, 177030, -399770
28044, -607, 940, -285, -142730, -268030, -345870
28064, -709, 1055, -398, -15820, -585200, -139160
28084, -783, 872, -452, 112350, -850080, 48370
28104, -758, 737, -565, 304360, -1263640, 345800
28124, -714, 567, -551, 442400, -1360170, 443170
28144, -746, 592, -521, 596260, -1392930, 488950
28164, -837, 666, -509, 681030, -1432900, 469280
28184, -900, 678, -553, 648480, -1515990, 408170
28204, -838, 737, -637, 539840, -1598030, 358610
28224, -705, 789, -594, 460460, -1585360, 374430
28244, -587, 806, -467, 443660, -1444590, 465850
28264, -488, 869, -385, 447930, -1232980, 566300
28284, -393, 1012, -359, 441070, -993580, 607670
28304, -350, 1108, -341, 423360, -722120, 559160
28324, -293, 1180, -362, 380100, -440650, 394310
28344, -256, 1180, -355, 307720, -152460, 170450
28364, -295, 1168, -365, 221900, 177100, 27930
28384, -443, 1110, -430, 102200, 529970, 13090
28404, -597, 1023, -554, -64260, 859040, 49070
28424, -727, 881, -600, -233450, 1142890, 30100
28444, -782, 720, -577, -367850, 1377740, -61600
28464, -784, 557, -652, -522130, 1528590, -183120
28484, -835, 458, -722, -682710, 1612590, -314510
28504, -901, 446, -670, -743610, 1704850, -423850
28524, -876, 514, -606, -741580, 1782060, -480690
28544, -790, 571, -552, -784770, 1767990, -494270
28564, -687, 579, -446, -864850, 1660120, -476420
28584, -643, 723, -344, -903700, 1478610, -455560
28604, -674, 947, -235, -829570, 1231090, -450170
28624, -681, 1073, -104, -632520, 919730, -439880
28644, -651, 1193, -138, -361830, 524020, -436730
28664, -629, 1256, -309, -124670, 46340, -429030
28684, -706, 1047, -352, 22750, -412230, -332080
28704, -814, 1151, -489, 127960, -754810, -126210
28724, -849, 907, -570, 208180, -1046430, 43120
28744, -793, 717, -639, 249270, -1276100, 221690
28764, -744, 594, -583, 338870, -1412950, 377020
28784, -760, 588, -529, 493430, -1450050, 500570
28804, -833, 626, -508, 646450, -1443120, 571970
28824, -891, 556, -540, 712460, -1535030, 497770
28844, -858, 585, -622, 630210, -1624350, 401590
28864, -727, 705, -646, 554260, -1643670, 353010
28884, -586, 678, -510, 520240, -1525230, 417130
28904, -497, 731, -384, 525840, -1314110, 508200
28924, -385, 861, -353, 502950, -1096200, 528920
28944, -310, 1003, -371, 455560, -843010, 498820
28964, -297, 1156, -371, 423710, -538160, 386960
